Descricao_Produto;Categoria;Cor;Tamanho;Material;Preco_Venda;Custo_Unitario;Quantidade_Estoque;Ano_Lancamento
Calca Jeans Seda Verde;Calca Jeans;Verde;G;Seda;239.89;81.46;29;2025
Blusa Poliester Preto;Blusa;Preto;42;Poliester;271.42;85.31;14;2024
Meias Linho Rosa;Meias;Rosa;P;Linho;286.25;170.76;51;2024
Jaqueta Seda Preto;Jaqueta;Preto;GG;Seda;218.51;123.49;27;2023
Moletom Seda Amarelo;Moletom;Amarelo;GG;Seda;117.24;67.32;43;2023
Bone Poliester Preto;Bone;Preto;40;Poliester;51.57;21.46;49;2024
Blusa Seda Verde;Blusa;Verde;P;Seda;127.41;64.28;56;2023
Blusa Seda Azul;Blusa;Azul;38;Seda;122.39;64.04;54;2023
Saia Jeans Azul;Saia;Azul;40;Jeans;263.58;121.32;35;2025
Bone Linho Cinza;Bone;Cinza;G;Linho;187.98;68.55;39;2026
Saia La Verde;Saia;Verde;44;La;136.87;78.63;59;2023
Moletom Seda Vermelho;Moletom;Vermelho;GG;Seda;78.74;34.18;45;2026
Jaqueta Seda Preto;Jaqueta;Preto;38;Seda;182.11;63.7;29;2023
Jaqueta Poliester Azul;Jaqueta;Azul;P;Poliester;69.2;28.96;47;2025
Moletom Algodao Preto;Moletom;Preto;40;Algodao;160.02;92.34;55;2026
Blusa Jeans Rosa;Blusa;Rosa;44;Jeans;47.48;23.86;57;2023
Bone Linho Cinza;Bone;Cinza;44;Linho;127.59;70.94;5;2026
Bermuda Jeans Branco;Bermuda;Branco;M;Jeans;49.06;24.53;31;2023
Bone La Rosa;Bone;Rosa;38;La;137.7;48.01;28;2026
Jaqueta La Azul;Jaqueta;Azul;44;La;72.68;37.77;15;2025
Blusa Seda Verde;Blusa;Verde;40;Seda;149.6;62.65;4;2025
Blusa Algodao Branco;Blusa;Branco;M;Algodao;84.23;48.92;8;2024
Blusa La Amarelo;Blusa;Amarelo;44;La;227.46;88.79;53;2025
Meias Algodao Azul;Meias;Azul;GG;Algodao;151.37;49.77;11;2025
Bone Algodao Rosa;Bone;Rosa;GG;Algodao;200.93;89.64;27;2024
Bermuda Jeans Cinza;Bermuda;Cinza;G;Jeans;41.67;18.51;32;2025
Vestido Algodao Verde;Vestido;Verde;42;Algodao;102.2;40.92;10;2023
Calca Jeans Algodao Branco;Calca Jeans;Branco;P;Algodao;318.36;131.31;51;2025
Jaqueta La Vermelho;Jaqueta;Vermelho;P;La;97.3;49.4;57;2024
Meias Poliester Verde;Meias;Verde;P;Poliester;178.96;100.41;41;2026
Saia Seda Rosa;Saia;Rosa;38;Seda;111.71;39.94;18;2023
Moletom Seda Vermelho;Moletom;Vermelho;42;Seda;122.79;37.98;56;2026
Vestido Poliester Branco;Vestido;Branco;38;Poliester;133.81;66.05;30;2023
Saia Jeans Verde;Saia;Verde;40;Jeans;180.46;88.88;49;2026
Vestido La Verde;Vestido;Verde;P;La;104.78;39.34;52;2024
Camiseta La Verde;Camiseta;Verde;G;La;261.78;94.63;8;2024
Calca Jeans Algodao Branco;Calca Jeans;Branco;M;Algodao;172.35;57.59;45;2025
Saia Algodao Vermelho;Saia;Vermelho;38;Algodao;66.98;32.74;2;2025
Camiseta Algodao Amarelo;Camiseta;Amarelo;38;Algodao;134.32;40.82;56;2024
Vestido Seda Verde;Vestido;Verde;38;Seda;323.35;192.47;45;2025
Blusa La Cinza;Blusa;Cinza;38;La;55.19;26.75;52;2023
Blusa Jeans Verde;Blusa;Verde;P;Jeans;51.39;20.55;38;2025
Bone Seda Verde;Bone;Verde;44;Seda;137.52;62.88;41;2025
Camiseta Poliester Cinza;Camiseta;Cinza;G;Poliester;102.63;47.99;27;2025
Moletom Jeans Amarelo;Moletom;Amarelo;P;Jeans;295.69;95.14;59;2026
Bone Linho Verde;Bone;Verde;40;Linho;271.32;128.31;49;2024
Meias Linho Rosa;Meias;Rosa;38;Linho;177.2;60.56;52;2025
Meias Linho Branco;Meias;Branco;44;Linho;186.29;86.07;36;2026
Jaqueta Poliester Cinza;Jaqueta;Cinza;40;Poliester;154.92;53.91;49;2026
Camiseta Poliester Vermelho;Camiseta;Vermelho;44;Poliester;131.82;48.32;32;2026
Bone Poliester Azul;Bone;Azul;38;Poliester;146.54;80.18;19;2026
Vestido La Verde;Vestido;Verde;P;La;75.76;36.63;50;2026
Jaqueta Algodao Branco;Jaqueta;Branco;38;Algodao;196.54;110.71;52;2025
Camiseta Poliester Cinza;Camiseta;Cinza;M;Poliester;307.93;152.66;23;2024
Bone Jeans Preto;Bone;Preto;38;Jeans;261.51;146.24;40;2023
Bermuda La Branco;Bermuda;Branco;G;La;40.64;21.92;20;2024
Blusa Seda Cinza;Blusa;Cinza;GG;Seda;150.45;76.71;22;2025
Calca Jeans Algodao Branco;Calca Jeans;Branco;P;Algodao;336.78;198.29;19;2026
Saia Jeans Vermelho;Saia;Vermelho;GG;Jeans;254.23;115.19;46;2025
Camiseta Poliester Preto;Camiseta;Preto;M;Poliester;148.92;82.7;58;2024
Vestido Poliester Vermelho;Vestido;Vermelho;38;Poliester;314.52;119.25;46;2024
Vestido Algodao Cinza;Vestido;Cinza;38;Algodao;323.68;145.14;18;2023
Calca Jeans La Azul;Calca Jeans;Azul;42;La;154.55;53.55;21;2025
Jaqueta Seda Azul;Jaqueta;Azul;40;Seda;309.69;129.3;16;2026
Calca Jeans La Rosa;Calca Jeans;Rosa;GG;La;135.98;70.55;57;2023
Camiseta Jeans Rosa;Camiseta;Rosa;42;Jeans;192.21;66.88;27;2023
Vestido Seda Cinza;Vestido;Cinza;40;Seda;134.16;58.88;8;2026
Meias Algodao Branco;Meias;Branco;44;Algodao;271.44;156.35;11;2026
Camiseta Seda Cinza;Camiseta;Cinza;38;Seda;299.68;124.15;50;2023
Blusa La Rosa;Blusa;Rosa;44;La;276.53;135.15;19;2024
Saia Algodao Azul;Saia;Azul;38;Algodao;187.68;61.91;15;2026
Calca Jeans Algodao Vermelho;Calca Jeans;Vermelho;G;Algodao;235.81;96.41;7;2024
Blusa La Cinza;Blusa;Cinza;38;La;101.11;52.78;13;2025
Moletom Poliester Preto;Moletom;Preto;42;Poliester;244.85;96.97;5;2024
Bone Jeans Vermelho;Bone;Vermelho;42;Jeans;321.18;122.72;34;2026
Moletom Algodao Preto;Moletom;Preto;42;Algodao;57.87;21.61;28;2026
Jaqueta Algodao Preto;Jaqueta;Preto;42;Algodao;319.84;117.38;18;2024
Blusa Seda Azul;Blusa;Azul;40;Seda;43.79;24.72;52;2023
Saia Poliester Amarelo;Saia;Amarelo;P;Poliester;233.78;85.03;11;2024
Moletom Poliester Rosa;Moletom;Rosa;G;Poliester;107.69;43.63;48;2024
Calca Jeans La Branco;Calca Jeans;Branco;44;La;184.62;74.31;25;2023
Bermuda La Preto;Bermuda;Preto;M;La;224.06;82.05;33;2025
Vestido Seda Azul;Vestido;Azul;40;Seda;59.64;28.98;48;2023
Saia Seda Vermelho;Saia;Vermelho;44;Seda;332.93;121.76;2;2026
Saia Jeans Verde;Saia;Verde;P;Jeans;94.6;40.57;29;2025
Calca Jeans Seda Vermelho;Calca Jeans;Vermelho;GG;Seda;147.67;82.58;45;2026
Calca Jeans Linho Cinza;Calca Jeans;Cinza;40;Linho;344.79;173.62;57;2025
